ATTRIBUTE,Mean,Variance,Stdv
LotArea,10168.11408016444,62204711.56854397,7886.996359105536
Id,1460.0,710290.0,842.7870430897713
MiscVal,50.82596779719082,321945.2685372313,567.4022105501805
GrLivArea,1500.7598492634463,256087.66026536454,506.05104511834037
BsmtFinSF1,441.3982528263104,207511.9082526009,455.53474977503186
TotalBsmtSF,1051.7562521411442,194209.64490178152,440.6922337661302
BsmtUnfSF,560.7399794450154,193135.43168073983,439.47176437257014
2ndFlrSF,336.4837273038712,183784.93796334715,428.7014555181113
1stFlrSF,1159.5817060637205,153948.00077556676,392.36207866658924
GarageArea,472.87701267557384,46379.04415611739,215.35794426052036
MasVnrArea,101.3960260363138,31988.960313194664,178.8545786755113
BsmtFinSF2,49.56526207605344,28621.569334329855,169.17910430762382
WoodDeckSF,93.70983213429257,16008.977802542064,126.52658931047681
OpenPorchSF,47.486810551558754,4566.447307130306,67.57549339168976
EnclosedPorch,23.098321342925658,4127.323091766477,64.24424559263247
ScreenPorch,16.062350119904078,3156.682882891768,56.18436511069399
LowQualFinSF,4.694415895854744,2152.665325215594,46.39682451650753
MSSubClass,57.1377183967112,1807.7486762181366,42.51762782915031
PoolArea,2.2517985611510793,1271.9170418291824,35.66394596548708
YearBuilt,1971.3127783487496,917.5714302150759,30.291441534121084
3SsnPorch,2.602261048304214,634.4438742553397,25.188169331162985
GarageYrBlt,1978.161699212059,618.4460856654929,24.868576269370404
LotFrontage,69.08838643371017,454.4527746059297,21.317897987511095
YearRemodAdd,1984.2644741349777,436.57362096223346,20.894344233840734
MoSold,6.213086673518328,7.3699314904289235,2.7147617741578953
TotRmsAbvGrd,6.451524494689962,2.4629508965039855,1.5693791436437485
OverallQual,6.089071599862967,1.9879511254405855,1.4099472066146965
YrSold,2007.7927372387803,1.7291316070809268,1.3149644889049008
OverallCond,5.564576909900651,1.239060059110256,1.1131307466377236
BedroomAbvGr,2.860226104830421,0.6768239378926703,0.8226931006716115
GarageCars,1.7667009249743062,0.579891477007369,0.7615060584180332
Fireplaces,0.5971223021582733,0.4174831485051849,0.646129358956227
FullBath,1.568002740664611,0.30577500204868907,0.5529692595874468
BsmtFullBath,0.4295991778006166,0.27528534305621205,0.5246764174767263
HalfBath,0.3802672147995889,0.2528798463236656,0.5028716002357516
GarageFinish_Unf,0.47584789311408016,0.2495021509474101,0.4995019028466359
LotShape_Reg,0.6368619390202124,0.2313480655796522,0.4809865544686797
BsmtExposure_No,0.6803699897225077,0.2175411927385537,0.46641311381494593
BsmtFinType1_Unf,0.3186022610483042,0.21716925881599627,0.4660142259802766
BsmtFinType1_GLQ,0.2908530318602261,0.20632823027781633,0.45423367365026596
GarageFinish_RFn,0.2778348749571771,0.20071141754959884,0.44800827843869007
LotConfig_Inside,0.7307297019527236,0.19683123568705987,0.4436566641977328
BsmtFinType1_Rec,0.0986639260020555,0.0889598318407841,0.2982613482179414
BsmtExposure_Gd,0.09455292908530319,0.08564201219069785,0.29264656531505345
BsmtFinType1_BLQ,0.09215484755053101,0.08369100274465631,0.2892939728799346
BsmtExposure_Mn,0.08187735525865023,0.07519921593323597,0.274224754413667
BsmtHalfBath,0.06132237067488866,0.06032326787155413,0.24560795563571253
LotConfig_CulDSac,0.06029462144570058,0.056678597198614365,0.23807267209533808
BsmtFinType1_LwQ,0.05275779376498801,0.049991535215967046,0.22358786911629855
KitchenAbvGr,1.0445357999314835,0.045993949968782435,0.21446200122348583
LotConfig_FR2,0.029119561493662214,0.028281301327292223,0.16817045319345555
LotShape_IR2,0.02603631380609798,0.025367114513617738,0.1592705701428162
LotShape_IR3,0.005481329222336417,0.005453152410021459,0.07384546302936598
LotConfig_FR3,0.004796163069544364,0.004774795653538855,0.06909989619050708
